	Tweet
122	"How I build a @pluralsight course:

1. Outline modules
2. Import to Excel
3. Marinate on the story of each module
4… https://t.co/Gu2bT8EEog"
123	@DeborahKurata @pluralsight @ShawnWildermuth By the way, I'm on it now... https://t.co/oZCSYLG8qc
124	@DeborahKurata @pluralsight @ShawnWildermuth Cheers!!! I shall have a quick look there. In case of any queries, I s… https://t.co/Slk70oWmsA
125	@nimpossible2020 There is great content on @pluralsight by @ShawnWildermuth including this excellent (and recently… https://t.co/VtFT3UnWnh
126	Join me on July 15 for an exciting online event for designers looking to extend their UX skills! The lineup include… https://t.co/gHSO8VTGLy
127	@CliffordAgius @jamie_maguire1 @MicrosoftIoT @pluralsight @IoTeaLive Indeed! And in fact, I'll be talking about… https://t.co/azky2f7JqX
128	@julielerman @ardalis @pluralsight Awesome, congrats! I’ve avoided learning a ton about DDD because it hasn’t been… https://t.co/fz2GhO5Fko
129	@pete_codes @jamie_maguire1 @MicrosoftIoT @pluralsight Need to update us all on this on tonight's @IoTeaLive mate.
130	@agcjunior @julielerman @pluralsight It's totally revised but yes it's the same overall topic. Think of it like a 2nd edition of a book.
131	"10 Best React Courses from Pluralsight for Beginners and Experienced Developers
https://t.co/9iaogMicAU
#javascript #reactjs"
132	@julielerman @ardalis @pluralsight Is tais course the same as the previous one with new technology?
133	@jon117oneill @RealFrugalMogul There should be plenty of data science courses. One of my direct reports did a plura… https://t.co/3zU3bMTYxQ
134	Domain-Driven Design is more important than ever. @ardalis &amp; I have just shipped 2nd edition of our DDD Fundamental… https://t.co/UmPAXC2M6z
135	🙌 We would like to thank everyone who attended our CIO Institute: Benelux event today. We would also like to thank… https://t.co/u5oEBHN7GK
136	Same problem with the new DDD Fundamentals course (https://t.co/oMokCRsQxl). Fixed and it's now available to ALL su… https://t.co/MYphe3ODv8
137	We published a big stack of Google Cloud/Workspace courses today. | Managing Google Workspace |… https://t.co/xiaay039qJ
138	@ardalis @pluralsight Appreciate the quick response. I’ll take a look today :)
139	@teafg @pluralsight If you figure it out, please let me know so I can update the README with some troubleshooting t… https://t.co/ngXg4ybEiz
140	@teafg @pluralsight Hmm, seems to be a problem with docker connecting to Nuget over SSL. This GitHub issue has some… https://t.co/mxP8kH6NYq
141	How does your organization approach upskilling? @Pluralsight's Sean Farrington explores why it should be a long-ter… https://t.co/aS1Te4xBPr
142	@henry_been @pluralsight That is so awesome, congratulations!
143	"Learn project management skills with our popular @Pluralsight online course! https://t.co/IsSheWnxOQ
#money… https://t.co/FVsd3UfGzg"
144	10 Best React Courses from Pluralsight for Beginners and Experienced Developers https://t.co/97mzCkpxgO #reactjs… https://t.co/bgfi0dgMrh
145	@jamie_maguire1 @MicrosoftIoT @pluralsight Yup..! There's been a gap though while we sort out the OD... But back on it full steam ahead now!
146	@pete_codes @MicrosoftIoT @pluralsight Your shipping quite a few of these by the looks of it!
147	@concentratdgreg @pluralsight Nice! Looking forward to it 👍🏻
148	@olakara @AamiriYouness @pluralsight it's TRUE it's TRUE. It was also accidentally left out of the core library but… https://t.co/bZ44CqJ8qy
149	"@HmsBarona Hi Hugo! I throughly enjoyed your #pluralsight tutorials! 

Are you planning on creating any for adding data to sql databases?"
150	@AamiriYouness @pluralsight that was also part of the mixup but it has been fixed and @Serv__ confirmed they were a… https://t.co/9ZFiLypkRW
151	@henry_been @pluralsight Great! 👍
152	@henry_been @pluralsight Woohoo awesome!
153	@ardalis I am enjoying the DDD fundamentals course @pluralsight but I keep getting a build error while following th… https://t.co/JZrbgPkODS
154	@AamiriYouness @julielerman @pluralsight You should be able to watch it with  standard subscription
155	"🦋I've just completed a 💎magnificent overview of #database and #security technologies in #AWS! 🥳

https://t.co/4X0XmBlptT"
156	@granticusdev Not sure if I am self-taught or self-motivated using different teaching / learning methods.  I got my… https://t.co/CzsXgpBZLc
157	@KevHal @concentratdgreg @ShabazDarr @pluralsight I think it’s mid-June so hopefully 2-3 weeks away
158	@virtualmanc @concentratdgreg @ShabazDarr @pluralsight When are you expecting to get results? planning on taking it soon.
159	@wouterdekort @pluralsight Thanks Wouter!
160	@virtualmanc @concentratdgreg @ShabazDarr @pluralsight @virtualmanc , if you fail the WVD exam then there is no hope for the rest of us!
161	@henry_been @pluralsight Congrats!
162	@julielerman @pluralsight Hello Julie, what about the ddd course? It is a standard one? 2 days ago it said i needed to upgrade.
163	Learn how to diagnose, troubleshoot, and repair any type of software or hardware compatibility problem in Windows 7… https://t.co/57RS8Z1utu
164	"@concentratdgreg @pluralsight as the exam is in beta this is much needed.
thanks Greg :)"
165	Join Marion van Leeuwen-Kemmere, Vice President Strategic Accounts for @pluralsight now as they discuss 'Addressing… https://t.co/NeABxPqoBX
166	@concentratdgreg @ShabazDarr @pluralsight I already took the beta exam but definetly looking forward to going throu… https://t.co/spZHF7Wswc
167	@Jan_de_V @pluralsight Thanks chief! (And good to see you online and on top of Twitter again!)
168	@henry_been @pluralsight That's so cool, congratulations!
169	Some exciting news... my first @pluralsight has been published last week! Want to start the path to earning the DP-… https://t.co/iOuk2xuec2
170	"Learn how to transform your software architecture:
https://t.co/sNlIUKWb3h

#pluralsight #microservices #legacy… https://t.co/5sHuM9RJSa"
171	"I earned a new badge while skilling up on @Pluralsight https://t.co/Uwe3Xm0MUp #po 
#programming #DEVCommunity #progress #coding"
172	Thank you @lak_gcp Lak Lakshmanan - Giving Vertex A.I. a spin on Google Cloud's new Machine Learning Platform… https://t.co/ouEB5pPsap
173	it's been years since I first stumbled across it on @pluralsight , but I still regularly demand/intimidate/threaten… https://t.co/8kU9fdU64v
174	@julielerman @ardalis @pluralsight Works like a charm. Thank you for following up :) https://t.co/UQp6PnbEis
175	Hello @meighread13! Just out of curiosity... is there a @pluralsight Executive Briefing that I can create where I c… https://t.co/wUFMUpQP9R
176	@SamerNT I am watching your @pluralsight react course and I would really appreciate this book @samerbuna. Consider me 🥺🤗
177	@JeffHicks Jeff! How's it going. I've watched a ton of your content on Pluralsight and I have learned a ton. Thanks a lot!
178	@AdesolaSamuel18 @gregcons I told @AdesolaSamuel18 that you often have @pluralsight free trial codes available, and… https://t.co/0ucw2N2qgO
179	Wow, accidentally, my EF Core Getting Started course became unavailable to folks with Standard @pluralsight subscri… https://t.co/pIgzWH2zJ7
180	@gregcons @lefticus I'll like to engage in learning more on C++ and your library on pluralsight will really be of great help.
181	"🤩I've just completed the 🏛️monumental 30-hour learning path about the #Go programming language on #Pluralsight! 🤗🦋

https://t.co/xIBKVmB3c1"
182	🥳I've just completed a 🌺sublime 3-hour course describing how to create a basic multi-service hybrid #distributed sy… https://t.co/aKar9WdXzf
183	@DeborahKurata @pluralsight @angular Thsnks to you, @John_Papa and @angular team I learned and realized, that Web F… https://t.co/UV3uH9O4mK
184	@GaweCodes @pluralsight @angular So great to hear. Thank you! 😊
185	@DeborahKurata @pluralsight @angular Watched the getting started course. It is a very good course
186	@John_Papa Learning #Angular @pluralsight for my new job. Watching your Angular CLI course. Very good course.
187	@Serv__ @ardalis @pluralsight Hey Marco! It should be available now! Let us know!! 😁😁😁
188	@KayodeFoloruns3 @ToyosiGodwin @unilagfm_1031 @officialnyscng @Google @khanacademy @udemy @pluralsight @DecagonIns… https://t.co/H0fFgSqadf
189	@adebusola_f @ToyosiGodwin @KayodeFoloruns3 @unilagfm_1031 @officialnyscng @Google @khanacademy @udemy @pluralsight… https://t.co/BM2hauTrdy
190	Time to update this course... I've revised the script and am now sprucing up the slides for the first of three modu… https://t.co/4UUA7Nd7VV
191	"Thank you @housecor for this course. 

https://t.co/xbuImNKtul 

#100DaysOfCode @pluralsight https://t.co/pnFiu6PtNs"
192	@concentratdgreg @pluralsight Maybe some Citrix ADC/ADM and SD-WAN on-premises and Cloud ?
193	@allardice @pluralsight Simon, your Swift and iOS courses are absolutely brilliant! I’m so glad I’ve stumbled upon… https://t.co/Fd6d18RPcS
194	@joshuaadetayo1 @ToyosiGodwin @KayodeFoloruns3 @unilagfm_1031 @officialnyscng @Google @khanacademy @udemy… https://t.co/ELopbCB7B6
195	@ToyosiGodwin @joshuaadetayo1 @KayodeFoloruns3 @unilagfm_1031 @officialnyscng @Google @khanacademy @udemy… https://t.co/TlFmDjQVhB
196	@KayodeFoloruns3 @ToyosiGodwin @unilagfm_1031 @officialnyscng @Google @khanacademy @udemy @pluralsight @DecagonIns… https://t.co/t1bj65bLpC
197	"All seven courses in my new AZ-140 learning path for @Pluralsight should hit the catalog late next week.

As I begi… https://t.co/k99IL9ett8"
198	I'm seeking a Sr Product Manager for our Identity team at Pluralsight. Democratize technology skills using human ce… https://t.co/EdUwbY4b8A
199	@joshuaadetayo1 @ToyosiGodwin @KayodeFoloruns3 @unilagfm_1031 @officialnyscng @Google @khanacademy @udemy… https://t.co/d813vkSP6t
200	Solid project management leads to solid project outcomes. Learn skills with our popular @Pluralsight online course!… https://t.co/Sr4tNenZSu
201	Here are some quick tips and tricks for your Monday: @JeremyCMorgan shows you how to manipulate small data sets wit… https://t.co/hudWDJbViu
202	@ScottAllen @pluralsight @OdeToCode Am Saddened. I am becoming very good with c# coz of his knowledge. It's sad I c… https://t.co/iGotQcUeD9
203	#SharePoint #Security End to End https://t.co/qtQKAiVNqR @pluralsight  #Training #Courses #Learning @SharePlicity  @SharePlicityE
204	@ToughToWatch @Docker @pluralsight My pleasure - hope you find it helpful!
205	@joshuaadetayo1 @ToyosiGodwin @KayodeFoloruns3 @unilagfm_1031 @officialnyscng @Google @khanacademy @udemy… https://t.co/ytq2Nf7sIO
206	@DahlSailRunner @Docker @pluralsight Thank you for this course!!!!
207	"@chombazm @pluralsight That's actually @OdeToCode, who sadly passed away last year.

https://t.co/y7zpfHX3dH"
208	Want to get @Azure certified?  Best way to start is with the AZ-900 - #Azure Fundamentals Certification!  Check out… https://t.co/IQ9RiBpAMs
209	Skype for Business Online is retiring soon! Make sure you're ready for  #MicrosoftTeams with this @Pluralsight path… https://t.co/P9nacdGE1k
210	@joshuaadetayo1 @ToyosiGodwin @unilagfm_1031 @officialnyscng @Google @khanacademy @udemy @pluralsight @DecagonIns… https://t.co/d8mg8gJeBc
211	@ToyosiGodwin @KayodeFoloruns3 @unilagfm_1031 @officialnyscng @Google @khanacademy @udemy @pluralsight @DecagonIns… https://t.co/gJ1y56PnX9
212	@joshuaadetayo1 @KayodeFoloruns3 @unilagfm_1031 @officialnyscng @Google @khanacademy @udemy @pluralsight… https://t.co/iWREVmXrgx
213	@ToyosiGodwin @KayodeFoloruns3 @unilagfm_1031 @officialnyscng @Google @khanacademy @udemy @pluralsight @DecagonIns… https://t.co/PmkZH24vgr
214	@ryan_p_ellis Honestly any contact would be good.  I am trying to create good courses on Pluralsight that honor the… https://t.co/WKwO5GAlag
215	Awesome! The first course is here: https://t.co/olyvi5g3vJ https://t.co/KRShaoiUeh
216	@KayodeFoloruns3 @unilagfm_1031 @officialnyscng @Google @khanacademy @udemy @pluralsight @DecagonIns @udacity… https://t.co/UYarEnABnO
217	@ToyosiGodwin I spoke about it on Eko Corper's Diary at @unilagfm_1031 two weeks ago where I asked why… https://t.co/3KMdTIlYBP
218	Are you studying for the #DevNet Associate exam? Try this free @Pluralsight skills assessment to measure your readi… https://t.co/FVJ3zbd2oX
219	Increasing Mental Health Awareness for Improved Inclusion: Take this brand new course and thousands more… https://t.co/H8h0Yqql0Z
220	This is one of the very few tweets I'm referencing in one of my @Pluralsight courses. Don't be afraid of lifelong l… https://t.co/jEqrTxosqh
221	"21. Plural Sight

Plural Sight, formally known as Code School, is an online learning platform that offers both free… https://t.co/2s1tgQ63cG"
222	@ardalis @Serv__ @pluralsight I am pretty confident that this is a mistake and it should/will be moved into the cor… https://t.co/ByB2LILQZc
223	@ADhasADHD @OpenAcademics @AcademicChatter @PhDVoice R programming course by Abhishek Kumar on Pluralsight. Really amazing.
224	I earned a new badge while skilling up on @Pluralsight https://t.co/3aYZwNrikz
225	@Serv__ @ardalis @pluralsight Can you sign up for the premier trial?? Then you can watch it!!
226	@AtanuGpt @nocentino @pluralsight Check out the AKS in Action Module
227	And if you want to know just how important those fundamentals of TCP/IP are - here you go #salesforcedown #dns… https://t.co/091LuaNmAe
228	The TCP/IP NETWORKING FOR DEVELOPERS module for the #GoogleAfrica #Developer #Scholarship is retired but has fundam… https://t.co/eYZEzyQeKw
229	@powershellpro @nocentino @pluralsight Did you add anything new as I could see the old one only... all green check marks 🤔
230	@julielerman @pluralsight @awscloud @dotnet @dotnetonAWS Thank you for creating that great #dotNETonAWS content! Yo… https://t.co/ybGitJiseG
231	@sandeepsaran05 @pluralsight thanks Sandeep, glad to hear you found it helpful
232	My Building Web Applications With React IQ is 242—that’s better than 94% of my peers! What's your #PluralsightIQ? https://t.co/52XWmgF5ay
233	Susahnya TQ Pluralsight e-learning! Dah dua kali buat still tak pass 11/15. Full video learning take ± 2 hours but… https://t.co/CHVu9YuumY
234	@julielerman @ardalis @pluralsight Support confirmed it, too. A UI hint in the course library to indicate the prici… https://t.co/lPJnDe74Ku
235	@maddiexcampbell I am huge pluralsight fan.Never tried Udemy.
236	@Serv__ @ardalis @pluralsight This is terrible news. Steve and I will be working with Pluralsight in this. Im so sorry.
237	@its_murugi Create a trial Pluralsight &amp; promote the author or search it here https://t.co/pcagAZRpGC or here https://t.co/Xl7YsxEZhr
238	@jamie_maguire1 @MicrosoftIoT #AZ220 exam prep courses for @Pluralsight...
239	Just finished Microservices Fundamental course from @pluralsight by @mark_heath. Highly recommended as it comes wit… https://t.co/QnWVKFwRaQ
240	"Week 21:

Microsoft Azure for .NET Developers - Building Secure Services and Applications - PluralSight, Kevin Dockx"
241	My @pluralsight course AKS - The Big Picture has been updated to reflect the latest version of Azure Kubernetes Ser… https://t.co/9rxOmj8vMc
242	@TechTrainerTim @MicrosoftLearn Thank you Tim. you and your colleagues have done a good job in pluralsight.
243	"@Stormie28519920 @TechTrainerTim @MicrosoftLearn sorry for that. My best resource is @MicrosoftLearn.
The AZ-104 le… https://t.co/rzXKfS7G2F"
244	@julielerman @ardalis @pluralsight I've upgraded to Standard now and can confirm - it is _not_ available on Standar… https://t.co/lcqcIz72rD
245	"I'm excited to announce the publication of my third course on @pluralsight 🎉
Learn how to manage and optimize large… https://t.co/x0GFPhyXWF"
